,user_id,timestamp,page_location,engagement_time_msec,quiz_part,engagement_time_sec,diff_time
31288,50,2023-02-19 09:38:41.627319,https://lookiero.fr/user/quiz/styles,17312,styles,17.312,41.082912
31289,50,2023-02-19 09:39:22.710231,https://lookiero.fr/user/quiz/prices,36004,prices,36.004,17.209149
31290,50,2023-02-19 09:39:39.919380,https://lookiero.fr/user/quiz/footwear,7782,footwear,7.782,5.560811
31300,50,2023-02-19 09:39:45.480191,https://lookiero.fr/user/quiz/you,10531,you,10.531,20.328488
31291,50,2023-02-19 09:40:05.808679,https://lookiero.fr/user/quiz/photos,15301,photos,15.301,127.880981
31267,50,2023-02-19 09:42:13.689660,https://lookiero.fr/user/quiz/register,36907,register,36.907,36.907
31194,144,2023-02-19 08:27:37.346538,https://lookiero.de/user/quiz/work,,work,,30.695386000000003
31181,144,2023-02-19 08:28:08.041924,https://lookiero.de/user/quiz/fit,30687,fit,30.687,12.609273
31243,144,2023-02-19 08:28:20.651197,https://lookiero.de/user/quiz/highlight,12565,highlight,12.565,14.055200000000001
31170,144,2023-02-19 08:28:34.706397,https://lookiero.de/user/quiz/body-shape,19112,body-shape,19.112,151.638418
31172,144,2023-02-19 08:31:06.344815,https://lookiero.de/user/quiz/eyes,151599,eyes,151.599,24.086417
31196,144,2023-02-19 08:31:30.431232,https://lookiero.de/user/quiz/hair,19106,hair,19.106,8.91149
31197,144,2023-02-19 08:31:39.342722,https://lookiero.de/user/quiz/sizes,8905,sizes,8.905,32.415841
31198,144,2023-02-19 08:32:11.758563,https://lookiero.de/user/quiz/measurements,37402,measurements,37.402,24.131226
31244,144,2023-02-19 08:32:35.889789,https://lookiero.de/user/quiz/focus,19142,focus,19.142,58.629780000000004
31185,144,2023-02-19 08:33:34.519569,https://lookiero.de/user/quiz/adventurous,63607,adventurous,63.607,27.533767
31250,144,2023-02-19 08:34:02.053336,https://lookiero.de/user/quiz/styles,22558,styles,22.558,132.475055
31227,144,2023-02-19 08:36:14.528391,https://lookiero.de/user/quiz/prices,137446,prices,137.446,15.317494000000002
31228,144,2023-02-19 08:36:29.845885,https://lookiero.de/user/quiz/avoid,10334,avoid,10.334,40.818991000000004
31253,144,2023-02-19 08:37:10.664876,https://lookiero.de/user/quiz/you,40780,you,40.78,46.425729000000004
31231,144,2023-02-19 08:37:57.090605,https://lookiero.de/user/quiz/photos,51432,photos,51.432,374.997093
31190,144,2023-02-19 08:46:08.293150,https://lookiero.de/user/quiz/register,104452,register,104.452,104.452
27415,181,2023-03-18 19:19:42.349669,https://lookiero.de/user/quiz/work,,work,,8.264583
27436,181,2023-03-18 19:19:50.614252,https://lookiero.de/user/quiz/fit,8218,fit,8.218,47.538096
27410,181,2023-03-18 19:20:38.152348,https://lookiero.de/user/quiz/highlight,47543,highlight,47.543,44.063065
27419,181,2023-03-18 19:21:22.215413,https://lookiero.de/user/quiz/body-shape,49079,body-shape,49.079,68.50352600000001
27416,181,2023-03-18 19:22:30.718939,https://lookiero.de/user/quiz/eyes,68476,eyes,68.476,27.601148000000002
27437,181,2023-03-18 19:22:58.320087,https://lookiero.de/user/quiz/hair,13805,hair,13.805,11.050731
27420,181,2023-03-18 19:23:09.370818,https://lookiero.de/user/quiz/sizes,10957,sizes,10.957,37.317620000000005
27417,181,2023-03-18 19:23:46.688438,https://lookiero.de/user/quiz/measurements,42395,measurements,42.395,17.876765000000002
27421,181,2023-03-18 19:24:04.565203,https://lookiero.de/user/quiz/focus,12856,focus,12.856,61.029918
27422,181,2023-03-18 19:25:05.595121,https://lookiero.de/user/quiz/adventurous,66028,adventurous,66.028,62.63477
27438,181,2023-03-18 19:26:08.229891,https://lookiero.de/user/quiz/styles,62605,styles,62.605,78.64515800000001
27418,181,2023-03-18 19:27:26.875049,https://lookiero.de/user/quiz/prices,78642,prices,78.642,16.000011
27423,181,2023-03-18 19:27:42.875060,https://lookiero.de/user/quiz/avoid,10981,avoid,10.981,57.431505
27424,181,2023-03-18 19:28:40.306565,https://lookiero.de/user/quiz/you,62453,you,62.453,44.190539
27439,181,2023-03-18 19:29:24.497104,https://lookiero.de/user/quiz/photos,39132,photos,39.132,588.6474360000001
27429,181,2023-03-18 19:40:36.931022,https://lookiero.de/user/quiz/register,64348,register,64.348,64.348
30776,188,2023-02-19 05:02:54.779590,https://lookiero.it/user/quiz/work,,work,,56.281741000000004
